code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
300910,瑞丰新材,CN,SZSE,C 制造业,False,2020-11-27T00:00:00.000,11123547724.08,7790738118.24,29.04,230139728.0,11.616,2.81,False,False,False,True,230139728.0,20.0,True,False,False,True,0.2099,0.3460148843,0.2098976453,0.2447335569,1.0141347553,True,0.3244464177,0.3212833581,C 制造业,0.0328587076,0.0671370208,0.254756871,0.4667019027,0.0082352941,83
301061,匠心家居,CN,SZSE,C 制造业,False,2021-09-13T00:00:00.000,10283817975.36,6828441960.96,36.16,62617361.0,9.178,2.358,False,False,False,True,62617361.0,20.0,True,False,False,True,0.2196,0.3929009176,0.2537605129,0.2250891437,0.9200481402,True,0.2071690348,0.3305709343,C 制造业,0.0087796313,0.0767149441,0.2373150106,0.3705073996,0.0082352941,83
301219,腾远钴业,CN,SZSE,C 制造业,False,2022-03-17T00:00:00.000,22950739252.65,16380746752.7,59.95,656992119.0,15.902,2.326,False,False,False,True,656992119.0,20.0,True,False,False,True,0.1213,0.2772743289,0.1331900952,0.2843695426,0.8399293938,True,0.3608361272,0.1670032526,C 制造业,0.0127437237,0.040651963,0.2970401691,0.3631078224,0.0082352941,83
301303,真兰仪表,CN,SZSE,C 制造业,False,2023-02-20T00:00:00.000,7350224000.0,1837556000.0,17.98,305728315.0,21.405,2.101,False,False,False,True,305728315.0,20.0,True,False,False,True,0.1018,0.4041360324,0.1924422917,0.2685693776,0.9548136306,True,0.1597266211,0.1350203335,C 制造业,0.0198863636,0.0445642083,0.3625792812,0.2954545455,0.0082352941,83
600007,中国国贸,CN,SSE,SW_UNKNOWN,False,1999-03-12T00:00:00.000,18886547512.5,18886547512.5,18.75,107282337.0,15.756,1.879,False,False,False,True,107282337.0,20.0,True,False,False,True,0.1264,0.5772150668,0.3189063372,0.1484896898,1.3100604096,True,0.0400640059,0.078118754,SW_UNKNOWN,0.0492390331,0.0833969282,0.3785912882,0.374884152,0.0106729914,107
600012,皖通高速,CN,SSE,SW_UNKNOWN,False,2003-01-07T00:00:00.000,27815875952.92,18975968000.0,16.28,49255999.0,14.6,2.082,False,False,False,True,49255999.0,20.0,True,False,False,True,0.1401,0.4450255392,0.2793161022,0.5328561305,1.8852722955,True,0.1803412399,0.1664976504,SW_UNKNOWN,0.0405405405,0.1272472231,0.3577386469,0.4263206673,0.0106729914,107
600026,中远海能,CN,SSE,SW_UNKNOWN,False,2002-05-23T00:00:00.000,105589022610.2,73874833725.6,19.3,2482469261.0,23.36,2.19,False,False,False,True,2482469261.0,20.0,True,False,False,True,0.1042,0.2612539514,0.1689798686,0.4608607937,1.83021509,True,0.0783591826,0.1121836208,SW_UNKNOWN,0.0196891192,0.0699802611,0.4893419833,0.4457831325,0.0106729914,107
600062,华润双鹤,CN,SSE,SW_UNKNOWN,False,1997-05-22T00:00:00.000,17011981530.18,17006131855.44,16.38,115518313.0,10.27,1.404,False,False,False,True,115518313.0,20.0,True,False,False,True,0.1486,0.5801396698,0.149711862,0.2650916318,0.9044080621,True,0.0528361721,0.1037961591,SW_UNKNOWN,0.0231379731,0.0875567875,0.281278962,0.2469879518,0.0106729914,107
600377,宁沪高速,CN,SSE,SW_UNKNOWN,False,2001-01-16T00:00:00.000,60755234850.0,45854326992.060005,12.06,107984070.0,13.225,1.402,False,False,False,True,107984070.0,20.0,True,False,False,True,0.1148,0.3007111431,0.2264195069,0.4295929264,1.4718827171,True,0.2036028193,0.132661344,SW_UNKNOWN,0.0406301824,0.1112931053,0.3331788693,0.2465245598,0.0106729914,107
600398,海澜之家,CN,SSE,SW_UNKNOWN,False,2000-12-28T00:00:00.000,26895513657.6,26895513657.6,5.6,172292991.0,12.444,1.397,False,False,False,True,172292991.0,20.0,True,False,False,True,0.1231,0.4487444129,0.1001584142,0.4548587925,2.0694830205,True,0.0378621024,0.039503411,SW_UNKNOWN,0.0620272315,0.1666627948,0.3197405005,0.2432808156,0.0106729914,107
