code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
301061,匠心家居,CN,SZSE,C 制造业,False,2021-09-13T00:00:00.000,11577827150.91,7687662395.76,40.71,103008433.0,10.332,2.655,False,False,False,True,103008433.0,20.0,True,False,False,True,0.2196,0.3929009176,0.2537605129,0.2250891437,0.9200481402,True,0.2071690348,0.3305709343,C 制造业,0.0087796313,0.0681408101,0.2399577167,0.4207188161,0.0082352941,73
301219,腾远钴业,CN,SZSE,C 制造业,False,2022-03-17T00:00:00.000,23038042116.94,16448238887.86,78.17,516102811.0,20.735,2.334,False,False,False,True,516102811.0,20.0,True,False,False,True,0.1213,0.2772743289,0.1331900952,0.2843695426,0.8399293938,True,0.3608361272,0.1670032526,C 制造业,0.0142653352,0.040497912,0.3430232558,0.338794926,0.0082352941,73
600007,中国国贸,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,21314098419.44,21314098419.440002,21.16,74944249.0,17.782,2.12,False,False,False,True,74944249.0,20.0,True,False,False,True,0.1264,0.5772150668,0.3189063372,0.1484896898,1.3100604096,True,0.0400640059,0.078118754,SW_UNKNOWN,0.0491050941,0.0738985068,0.3934198332,0.4105653383,0.0120452903,115
600012,皖通高速,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,27627930845.13,18847752000.0,16.17,160474638.0,14.501,2.068,False,False,False,True,160474638.0,20.0,True,False,False,True,0.1401,0.4450255392,0.2793161022,0.5328561305,1.8852722955,True,0.1803412399,0.1664976504,SW_UNKNOWN,0.0375,0.1281128504,0.3419833179,0.3966635774,0.0120452903,115
600026,中远海能,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,97772800809.71,68375555258.130005,17.89,1170506996.0,21.653,2.028,False,False,False,True,1170506996.0,20.0,True,False,False,True,0.1042,0.2612539514,0.1689798686,0.4608607937,1.83021509,True,0.0783591826,0.1121836208,SW_UNKNOWN,0.0204851752,0.0755746722,0.4476367006,0.3855421687,0.0120452903,115
600062,华润双鹤,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,17458572009.91,17452568772.28,16.81,66153438.0,10.54,1.441,False,False,False,True,66153438.0,20.0,True,False,False,True,0.1486,0.5801396698,0.149711862,0.2650916318,0.9044080621,True,0.0528361721,0.1037961591,SW_UNKNOWN,0.0223466981,0.0853170839,0.2752548656,0.2270620945,0.0120452903,115
600377,宁沪高速,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,64835810325.0,48934095222.87,12.87,124101952.0,14.113,1.496,False,False,False,True,124101952.0,20.0,True,False,False,True,0.1148,0.3007111431,0.2264195069,0.4295929264,1.4718827171,True,0.2036028193,0.132661344,SW_UNKNOWN,0.0376344086,0.1042886441,0.3368860056,0.2432808156,0.0120452903,115
600398,海澜之家,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,27904095419.76,27904095419.760002,5.81,122242849.0,12.911,1.449,False,False,False,True,122242849.0,20.0,True,False,False,True,0.1231,0.4487444129,0.1001584142,0.4548587925,2.0694830205,True,0.0378621024,0.039503411,SW_UNKNOWN,0.0620272315,0.1606388384,0.311862836,0.2275254866,0.0120452903,115
600483,福能股份,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,32249598480.000004,32249598480.000004,11.6,488524531.0,10.943,1.158,False,False,False,True,488524531.0,20.0,True,False,False,True,0.1127,0.2873995887,0.2150570778,0.418152032,1.7277345355,True,0.0754658252,0.1461231865,SW_UNKNOWN,0.0310193322,0.1584276057,0.2822057461,0.1380908248,0.0120452903,115
600600,青岛啤酒,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,81578868235.8,42405731391.399994,59.8,440144515.0,17.782,2.515,False,False,False,True,440144515.0,20.0,True,False,False,True,0.155,0.4184441625,0.1412875739,0.3955258515,1.000960782,True,0.0318648415,0.1582166939,SW_UNKNOWN,0.0385182757,0.0562953299,0.3934198332,0.4879518072,0.0120452903,115
